Control Code,Parent Control Code,Domain,Control Type,Description,SOC 2 Direct Mapping,SOC 2 Inherited Mapping,SOC 2 Effective Mapping,CIS IG1 Mapping,Suggested Evidence Examples,Evidence Keywords,Recommendation Template,Source
AC-01,,Access Control,Parent Control,"A list of system assets, components, and respective owners are maintained and reviewed at least annually.",CC6.1,,CC6.1,CIS_IG1_1_1.1,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,list; assets; components; respective; owners; least; annually,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-01-1,AC-01,Access Control,Child / Implementation Control,"Inventory of system assets including software, hardware, assets, their respective owners and relevant details is maintained and reviewed at least annually.",,CC6.1,CC6.1,"CIS_IG1_1_1.2, CIS_IG1_2_2.1, CIS_IG1_2_2.3, CIS_IG1_9_9.1",Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,inventory; assets; including; software; hardware; their; respective; owners; relevant; details; least; annually,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-01-10,AC-01,Access Control,Child / Implementation Control,"Automatic system assets and components detection alerts administrators of potentially unauthorized hardware, software, or firmware.",,CC6.1,CC6.1,"CIS_IG1_1_1.2, CIS_IG1_2_2.3",Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,automatic; assets; components; detection; alerts; administrators; potentially; unauthorized; hardware; software; firmware,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-01-11,AC-01,Access Control,Child / Implementation Control,Maintain an inventory of all in-scope resources and systems.,,CC6.1,CC6.1,CIS_IG1_1_1.2,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,maintain; inventory; resources,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-02,,Access Control,Parent Control,"Personnel are assigned unique IDs to access sensitive systems, networks, and information",CC6.1,,CC6.1,"CIS_IG1_3_3.3, CIS_IG1_5_5.4",Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,assigned; unique; sensitive; networks; information,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-02-21,AC-02,Access Control,Child / Implementation Control,"Additions, deletions and modifications of user accounts and authentication factors are managed securely.",,CC6.1,CC6.1,CIS_IG1_6_6.1,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,additions; deletions; modifications; accounts; authentication; factors; managed; securely,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-03,,Access Control,Parent Control,"Personnel are required to use strong, complex passwords and a second form of authentication to access sensitive systems, networks, and information.","CC6.1, CC6.6",,"CC6.1, CC6.6",CIS_IG1_5_5.2,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,required; strong; complex; passwords; second; form; authentication; sensitive; networks; information,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-03-11,AC-03,Access Control,Child / Implementation Control,Incorporate multi-factor authentication for all remote access into the in-scope environment for personnel with administrative access.,,"CC6.1, CC6.6","CC6.1, CC6.6","CIS_IG1_6_6.3, CIS_IG1_6_6.4, CIS_IG1_6_6.5",Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,incorporate; multi; factor; authentication; remote; environment; administrative,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-04,,Access Control,Parent Control,"An Access Control and Termination Policy governs authentication and access to applicable systems, data, and networks.","CC5.3, CC6.1, CC6.2, CC6.3",,"CC5.3, CC6.1, CC6.2, CC6.3",,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,termination; governs; authentication; networks,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-04-9,AC-04,Access Control,Child / Implementation Control,Access Control Procedures is in place and acknowledged by relevant personnel on an annual basis.,,"CC5.3, CC6.1, CC6.2, CC6.3","CC5.3, CC6.1, CC6.2, CC6.3","CIS_IG1_6_6.1, CIS_IG1_6_6.2",Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,procedures; place; acknowledged; relevant; annual; basis,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
